Event Name,Time,Distinct ID,City,Country,Operating System,Session Length
App Session,1678407487.018,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,17.4
App Session,1678328865.407,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,29.4
App Session,1678119868.841,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,28
App Session,1678087925.469,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,93.7
App Session,1678087811.63,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,15.5
App Session,1678071087.225,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,18.8
App Session,1678035259.828,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,86.2
App Session,1678021185.17,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,11.2
App Session,1678020273.259,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,32.1
App Session,1677958214.362,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,77.6
App Session,1677940181.126,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,13.5
App Session,1677895983.305,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,64.7
App Session,1677851327.236,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,29.3
App Session,1677850256.862,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,20.6
App Session,1677849987.263,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,12.6
App Session,1677849890.773,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,13.5
App Session,1677849805.608,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,14.3
App Session,1677849716.224,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,19.7
App Session,1677849691.593,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,13.7
App Session,1677849673.425,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,31.6
App Session,1677848737.344,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,50.2
App Session,1677847883.181,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,10.7
App Session,1677842177.82,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,63.8
App Session,1677840960.228,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,25.6
App Session,1677840933.174,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,21.5
App Session,1677840898.848,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,24.2
App Session,1677840853.725,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,44.7
App Session,1677840753.03,6401d1629f741c4433c16db2::E7A8C777-9E3E-44DD-BBC6-734976527C8B,Delhi,IN,iOS,65.2
App Session,1677807633.031,63f4a4bc81407164cae70ea5::56B07CA7-2A26-45FE-81EB-1C7DEDD47D14,Delhi,IN,iOS,31.7
