Event Name,Time,Distinct ID,City,Country,Operating System,Session Length
App Session,1675765468.95,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,81.5
App Session,1675765383.08,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,67.4
App Session,1675765298.309,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,32.9
App Session,1675765122.87,b93720d7-d5a0-49ae-919e-1cd3cff48880,Bengaluru,IN,Android,9665
App Session,1675765035.304,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,49.4
App Session,1675764994.135,62ea6a27bd000347e5671ba8::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,329.6
App Session,1675764982.448,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,17.2
App Session,1675764959.491,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,43.3
App Session,1675764881.449,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,45.3
App Session,1675764657.372,62ea6a27bd000347e5671ba8::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,41.7
App Session,1675764619.241,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,30.3
App Session,1675764567.332,62ea6a27bd000347e5671ba8::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,686.7
App Session,1675764331.603,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,39.1
App Session,1675764163.251,a7a642cd-5d3a-4d01-b1c3-870624fbb51e,New Delhi,IN,Android,119.6
App Session,1675763878.374,63e21d80130e90b69b68e490::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,18.3
App Session,1675763855.986,63e21d80130e90b69b68e490::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,33.8
App Session,1675763773.746,a7a642cd-5d3a-4d01-b1c3-870624fbb51e,New Delhi,IN,Android,123.7
App Session,1675763624.985,03084b04-8675-4be2-b3c7-d3febf6aa27f,Delhi,IN,Android,126.1
App Session,1675763591.261,a7a642cd-5d3a-4d01-b1c3-870624fbb51e,New Delhi,IN,Android,20.3
App Session,1675763545.924,03084b04-8675-4be2-b3c7-d3febf6aa27f,Delhi,IN,Android,22.3
App Session,1675763482.542,a7a642cd-5d3a-4d01-b1c3-870624fbb51e,New Delhi,IN,Android,93.1
App Session,1675763481.994,03084b04-8675-4be2-b3c7-d3febf6aa27f,Delhi,IN,Android,95.2
App Session,1675763405.902,63e21d80130e90b69b68e490::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,305.1
App Session,1675763216.284,a7a642cd-5d3a-4d01-b1c3-870624fbb51e,New Delhi,IN,Android,385.4
App Session,1675763092.757,63e21d80130e90b69b68e490::2e90e8ac-bf87-4564-8b54-f38f7ff49db3,Delhi,IN,Android,227.7
App Session,1675763038.533,03084b04-8675-4be2-b3c7-d3febf6aa27f,Delhi,IN,Android,47
App Session,1675762803.894,3abafe3e-f311-4bc0-b903-36c5dea7148b,Delhi,IN,Android,114.1
App Session,1675762391.111,62ea6a27bd000347e5671ba8::b7706fdf-630d-4ee7-aee6-e82471d14d57,Delhi,IN,Android,54.6
App Session,1675762095.345,6311b20374f91004a4241157::34C007AB-D0C3-44E5-B38F-9B65597FA8CC,Delhi,IN,iOS,76.2
App Session,1675762011.614,3E2EC087-75CF-4E0A-9327-8325E265674C,Delhi,IN,iOS,14.6
App Session,1675761819.133,3E2EC087-75CF-4E0A-9327-8325E265674C,Delhi,IN,iOS,81
App Session,1675761427.182,4A7A202B-56BB-4358-ACDE-50C46E04E827,Gurgaon,IN,iOS,65.9
App Session,1675760454.755,3abafe3e-f311-4bc0-b903-36c5dea7148b,Delhi,IN,Android,435.1
App Session,1675760274.816,63b808fa1a03b710c6f85f84::7f9528c2-a5de-42dc-be0c-782f471a5a06,Delhi,IN,Android,73.7
App Session,1675760144.345,62ea6a27bd000347e5671ba8::b7706fdf-630d-4ee7-aee6-e82471d14d57,Delhi,IN,Android,1541.4
App Session,1675760013.871,3abafe3e-f311-4bc0-b903-36c5dea7148b,Delhi,IN,Android,561.1
App Session,1675759607.977,3E2EC087-75CF-4E0A-9327-8325E265674C,Delhi,IN,iOS,25.3
